d13C_carb,Height (m)
0.610687023,180.0246026
-0.305343511,176.7665158
-0.27480916,173.6982205
0.885496183,172.0545327
0.549618321,170.5069122
1.526717557,169.4700884
1.832061069,167.4866505
1.770992366,165.9495739
1.34351145,163.7845454
1.801526718,163.0347519
1.557251908,161.6441194
1.954198473,160.1246162
1.282442748,158.2571619
1.618320611,155.3540554
1.465648855,152.1252574
1.58778626,149.5208968
1.557251908,146.1433117
1.221374046,141.0658042
0.65648855,138.2560314
0.300254453,135.1728964
0.681933842,125.8512458
0.554707379,123.5442641
0.65648855,120.6065969
-0.361323155,117.3701838
-0.666666667,114.1611069
0.503816794,111.264444
-0.615776081,108.7914925
-0.437659033,106.112543
1.394402036,105.0317861
2.183206107,104.5504733
3.582697201,104.0925917
4.905852417,102.73652
4.753180662,102.2190844
3.506361323,102.0433515
2.539440204,101.2388857
4.396946565,100.4148939
3.506361323,99.61335693
1.368956743,98.38029819
0.27480916,98.21042312
1.267175573,96.07429286
0.961832061,94.39994944
0.65648855,91.31876703
0.681933842,89.14553762
-0.361323155,86.41972606